Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
All Orderables,Lab Samples,CONCEPT-SET,1,,
All Orderables,9bb0795c-4ff0-0305-1990-000000000048,CONCEPT-SET,2,,
All Orderables,6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CONCEPT-SET,3,,
