Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:3000
7077b7dd-f0d1-410f-bd2d-bf1301f83c93,,,Procedure Duration Units,,,Question,Coded,CIEL:162583;CIEL:1733;CIEL:1822;CIEL:1072;CIEL:1073;CIEL:1074;CIEL:1734,,,
27e6c45c-ffd1-4278-ace3-821748ffc091,,,Procedure Record,,,ConvSet,N/A,,CIEL:1651;CIEL:160715;167132AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA;CIEL:167838;CIEL:163049;CIEL:160721;CIEL:160716;CIEL:165929;7077b7dd-f0d1-410f-bd2d-bf1301f83c93,,
